player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
"Keïta, Naby",GUI,MF,26.0,4.0,2.0,8.0,3.0,37.5,1.99,0.75,0.25,0.67,21.9,0.0,0.0,0.0,0.8,0.8,0.1,1.2,1.2,https://fbref.com/en/players/f25c8e3a/matchlogs/2021-2022/summary/Naby-Keita-Match-Logs
"Tsimikas, Kostas",GRE,DF,25.0,4.3,0.0,3.0,1.0,33.3,0.69,0.23,0.0,0.0,18.2,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,https://fbref.com/en/players/f315ca93/matchlogs/2021-2022/summary/Kostas-Tsimikas-Match-Logs
"Firmino, Roberto",BRA,FW,30.0,4.1,4.0,12.0,6.0,50.0,2.91,1.46,0.33,0.67,12.5,0.0,0.0,0.0,3.9,3.9,0.33,0.1,0.1,https://fbref.com/en/players/4c370d81/matchlogs/2021-2022/summary/Roberto-Firmino-Match-Logs
"Konaté, Ibrahima",FRA,DF,22.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/5ed9b537/matchlogs/2021-2022/summary/Ibrahima-Konate-Match-Logs
"Oxlade-Chamberlain, Alex",ENG,MF,28.0,4.2,0.0,11.0,1.0,9.1,2.63,0.24,0.0,0.0,22.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,https://fbref.com/en/players/38c7feef/matchlogs/2021-2022/summary/Alex-Oxlade-Chamberlain-Match-Logs
"Jones, Curtis",ENG,MF,20.0,3.6,1.0,6.0,1.0,16.7,1.68,0.28,0.17,1.0,20.2,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,https://fbref.com/en/players/4fb9c88f/matchlogs/2021-2022/summary/Curtis-Jones-Match-Logs
"Elliott, Harvey",ENG,MF,18.0,2.8,0.0,7.0,1.0,14.3,2.52,0.36,0.0,0.0,16.3,0.0,0.0,0.0,0.7,0.7,0.11,-0.7,-0.7,https://fbref.com/en/players/c8387671/matchlogs/2021-2022/summary/Harvey-Elliott-Match-Logs
"Kelleher, Caoimhín",IRL,GK,23.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/62d7ef38/matchlogs/2021-2022/summary/Caoimhin-Kelleher-Match-Logs
"Minamino, Takumi",JPN,"FW,MF",26.0,0.5,1.0,1.0,1.0,100.0,2.09,2.09,1.0,1.0,3.0,0.0,0.0,0.0,0.8,0.8,0.8,0.2,0.2,https://fbref.com/en/players/f833a830/matchlogs/2021-2022/summary/Takumi-Minamino-Match-Logs
"Origi, Divock",BEL,FW,26.0,0.2,1.0,2.0,2.0,100.0,10.0,10.0,0.5,0.5,12.0,0.0,0.0,0.0,0.2,0.2,0.09,0.8,0.8,https://fbref.com/en/players/43a166b4/matchlogs/2021-2022/summary/Divock-Origi-Match-Logs
"Gomez, Joe",ENG,DF,24.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/7a11550b/matchlogs/2021-2022/summary/Joe-Gomez-Match-Logs
"Williams, Neco",WAL,DF,20.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/dd323728/matchlogs/2021-2022/summary/Neco-Williams-Match-Logs
"Morton, Tyler",ENG,MF,19.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/2bc28bb9/matchlogs/2021-2022/summary/Tyler-Morton-Match-Logs
