player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Keïta, Naby",GUI,MF,26.0,4.0,15.0,12.0,6.0,6.0,3.0,8.0,12.0,66.7,4.0,100.0,29.0,29.0,23.0,51.0,26.0,8.0,1.0,0.0,7.0,4.0,19.0,0.0,0.0,https://fbref.com/en/players/f25c8e3a/matchlogs/2021-2022/defense/Naby-Keita-Match-Logs
"Tsimikas, Kostas",GRE,DF,25.0,4.3,13.0,6.0,5.0,3.0,5.0,5.0,9.0,55.6,4.0,68.0,20.0,29.4,28.0,18.0,22.0,6.0,1.0,0.0,5.0,5.0,18.0,14.0,0.0,https://fbref.com/en/players/f315ca93/matchlogs/2021-2022/defense/Kostas-Tsimikas-Match-Logs
"Firmino, Roberto",BRA,FW,30.0,4.1,9.0,6.0,2.0,5.0,2.0,1.0,5.0,20.0,4.0,91.0,32.0,35.2,13.0,41.0,37.0,6.0,0.0,0.0,6.0,1.0,10.0,1.0,0.0,https://fbref.com/en/players/4c370d81/matchlogs/2021-2022/defense/Roberto-Firmino-Match-Logs
"Konaté, Ibrahima",FRA,DF,22.0,4.0,7.0,4.0,5.0,1.0,1.0,2.0,3.0,66.7,1.0,27.0,10.0,37.0,19.0,7.0,1.0,5.0,4.0,0.0,1.0,7.0,14.0,24.0,0.0,https://fbref.com/en/players/5ed9b537/matchlogs/2021-2022/defense/Ibrahima-Konate-Match-Logs
"Oxlade-Chamberlain, Alex",ENG,MF,28.0,4.2,7.0,6.0,2.0,4.0,1.0,2.0,8.0,25.0,6.0,80.0,23.0,28.8,10.0,41.0,29.0,4.0,1.0,0.0,3.0,8.0,15.0,5.0,0.0,https://fbref.com/en/players/38c7feef/matchlogs/2021-2022/defense/Alex-Oxlade-Chamberlain-Match-Logs
"Jones, Curtis",ENG,MF,20.0,3.6,5.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,84.0,18.0,21.4,15.0,56.0,13.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,https://fbref.com/en/players/4fb9c88f/matchlogs/2021-2022/defense/Curtis-Jones-Match-Logs
"Elliott, Harvey",ENG,MF,18.0,2.8,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,68.0,16.0,23.5,17.0,33.0,18.0,7.0,0.0,0.0,7.0,2.0,3.0,3.0,0.0,https://fbref.com/en/players/c8387671/matchlogs/2021-2022/defense/Harvey-Elliott-Match-Logs
"Kelleher, Caoimhín",IRL,GK,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/62d7ef38/matchlogs/2021-2022/defense/Caoimhin-Kelleher-Match-Logs
"Minamino, Takumi",JPN,"FW,MF",26.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,19.0,11.0,57.9,3.0,11.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,https://fbref.com/en/players/f833a830/matchlogs/2021-2022/defense/Takumi-Minamino-Match-Logs
"Origi, Divock",BEL,FW,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,https://fbref.com/en/players/43a166b4/matchlogs/2021-2022/defense/Divock-Origi-Match-Logs
"Gomez, Joe",ENG,DF,24.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,https://fbref.com/en/players/7a11550b/matchlogs/2021-2022/defense/Joe-Gomez-Match-Logs
"Williams, Neco",WAL,DF,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/dd323728/matchlogs/2021-2022/defense/Neco-Williams-Match-Logs
"Morton, Tyler",ENG,MF,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2bc28bb9/matchlogs/2021-2022/defense/Tyler-Morton-Match-Logs
