player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,matches
"Milner, James",ENG,"MF,DF",35.0,4.5,13.0,2.89,9.0,2.0,1.0,1.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2f90f6b8/matchlogs/2021-2022/gca/James-Milner-Match-Logs
"Keïta, Naby",GUI,MF,26.0,4.0,15.0,3.73,11.0,0.0,0.0,2.0,0.0,2.0,3.0,0.75,3.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f25c8e3a/matchlogs/2021-2022/gca/Naby-Keita-Match-Logs
"Tsimikas, Kostas",GRE,DF,25.0,4.3,16.0,3.68,10.0,6.0,0.0,0.0,0.0,0.0,2.0,0.46,1.0,1.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f315ca93/matchlogs/2021-2022/gca/Kostas-Tsimikas-Match-Logs
"Firmino, Roberto",BRA,FW,30.0,4.1,14.0,3.4,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.49,1.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/players/4c370d81/matchlogs/2021-2022/gca/Roberto-Firmino-Match-Logs
"Konaté, Ibrahima",FRA,DF,22.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5ed9b537/matchlogs/2021-2022/gca/Ibrahima-Konate-Match-Logs
"Oxlade-Chamberlain, Alex",ENG,MF,28.0,4.2,11.0,2.63,8.0,0.0,2.0,0.0,1.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/38c7feef/matchlogs/2021-2022/gca/Alex-Oxlade-Chamberlain-Match-Logs
"Jones, Curtis",ENG,MF,20.0,3.6,7.0,1.96,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.56,1.0,0.0,0.0,1.0,0.0,0.0,https://fbref.com/en/players/4fb9c88f/matchlogs/2021-2022/gca/Curtis-Jones-Match-Logs
"Elliott, Harvey",ENG,MF,18.0,2.8,15.0,5.4,9.0,1.0,1.0,2.0,2.0,0.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/c8387671/matchlogs/2021-2022/gca/Harvey-Elliott-Match-Logs
"Kelleher, Caoimhín",IRL,GK,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/62d7ef38/matchlogs/2021-2022/gca/Caoimhin-Kelleher-Match-Logs
"Minamino, Takumi",JPN,"FW,MF",26.0,0.5,2.0,4.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f833a830/matchlogs/2021-2022/gca/Takumi-Minamino-Match-Logs
"Origi, Divock",BEL,FW,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/43a166b4/matchlogs/2021-2022/gca/Divock-Origi-Match-Logs
"Gomez, Joe",ENG,DF,24.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7a11550b/matchlogs/2021-2022/gca/Joe-Gomez-Match-Logs
"Williams, Neco",WAL,DF,20.0,0.1,2.0,22.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,22.5,1.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/dd323728/matchlogs/2021-2022/gca/Neco-Williams-Match-Logs
"Morton, Tyler",ENG,MF,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2bc28bb9/matchlogs/2021-2022/gca/Tyler-Morton-Match-Logs
