player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Alli, Dele",ENG,MF,25.0,5.7,17.0,7.0,11.0,5.0,1.0,5.0,14.0,35.7,9.0,148.0,41.0,27.7,62.0,60.0,26.0,19.0,5.0,0.0,14.0,11.0,28.0,8.0,0.0,https://fbref.com/en/players/cea4ee8f/matchlogs/2021-2022/defense/Dele-Alli-Match-Logs
"Tanganga, Japhet",ENG,DF,22.0,4.8,8.0,6.0,4.0,2.0,2.0,1.0,4.0,25.0,3.0,60.0,20.0,33.3,35.0,19.0,6.0,11.0,4.0,0.0,7.0,12.0,20.0,22.0,0.0,https://fbref.com/en/players/e9971f2d/matchlogs/2021-2022/defense/Japhet-Tanganga-Match-Logs
"Ndombele, Tanguy",FRA,MF,24.0,4.5,13.0,10.0,4.0,8.0,1.0,1.0,2.0,50.0,1.0,67.0,21.0,31.3,14.0,37.0,16.0,0.0,0.0,0.0,0.0,2.0,15.0,1.0,0.0,https://fbref.com/en/players/5cdddffa/matchlogs/2021-2022/defense/Tanguy-Ndombele-Match-Logs
"Sánchez, Davinson",COL,DF,25.0,4.3,9.0,3.0,5.0,4.0,0.0,4.0,8.0,50.0,4.0,48.0,15.0,31.3,22.0,23.0,3.0,12.0,8.0,0.0,4.0,4.0,13.0,29.0,0.0,https://fbref.com/en/players/da7b447d/matchlogs/2021-2022/defense/Davinson-Sanchez-Match-Logs
"Davies, Ben",WAL,DF,28.0,3.3,8.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,34.0,10.0,29.4,16.0,9.0,9.0,2.0,2.0,0.0,0.0,7.0,15.0,4.0,0.0,https://fbref.com/en/players/44781702/matchlogs/2021-2022/defense/Ben-Davies-Match-Logs
"Bergwijn, Steven",NED,FW,24.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,35.0,2.0,5.7,7.0,17.0,11.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,https://fbref.com/en/players/a29b1131/matchlogs/2021-2022/defense/Steven-Bergwijn-Match-Logs
"Lo Celso, Giovani",ARG,"MF,FW",25.0,2.4,8.0,3.0,4.0,3.0,1.0,3.0,11.0,27.3,8.0,62.0,11.0,17.7,24.0,25.0,13.0,6.0,0.0,0.0,6.0,1.0,9.0,0.0,0.0,https://fbref.com/en/players/d7553721/matchlogs/2021-2022/defense/Giovani-Lo-Celso-Match-Logs
"Winks, Harry",ENG,MF,25.0,1.7,4.0,3.0,1.0,3.0,0.0,1.0,4.0,25.0,3.0,39.0,12.0,30.8,18.0,18.0,3.0,4.0,0.0,0.0,4.0,7.0,11.0,3.0,0.0,https://fbref.com/en/players/2f7acede/matchlogs/2021-2022/defense/Harry-Winks-Match-Logs
"Rodon, Joe",WAL,DF,24.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,42.9,5.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,8.0,0.0,https://fbref.com/en/players/8d62d31a/matchlogs/2021-2022/defense/Joe-Rodon-Match-Logs
Bryan,ESP,"FW,MF",20.0,0.7,3.0,2.0,2.0,0.0,1.0,2.0,4.0,50.0,2.0,27.0,7.0,25.9,9.0,5.0,13.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,https://fbref.com/en/players/7b5ab7f2/matchlogs/2021-2022/defense/Bryan-Match-Logs
"Doherty, Matt",IRL,DF,29.0,0.3,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,9.0,4.0,44.4,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,https://fbref.com/en/players/d557d734/matchlogs/2021-2022/defense/Matt-Doherty-Match-Logs
"Sessegnon, Ryan",ENG,DF,21.0,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,8.0,2.0,25.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://fbref.com/en/players/6aa3e78b/matchlogs/2021-2022/defense/Ryan-Sessegnon-Match-Logs
