player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,matches
"Alli, Dele",ENG,MF,25.0,5.7,6.0,1.05,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/cea4ee8f/matchlogs/2021-2022/gca/Dele-Alli-Match-Logs
"Tanganga, Japhet",ENG,DF,22.0,4.8,2.0,0.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e9971f2d/matchlogs/2021-2022/gca/Japhet-Tanganga-Match-Logs
"Ndombele, Tanguy",FRA,MF,24.0,4.5,10.0,2.2,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5cdddffa/matchlogs/2021-2022/gca/Tanguy-Ndombele-Match-Logs
"Sánchez, Davinson",COL,DF,25.0,4.3,3.0,0.69,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/da7b447d/matchlogs/2021-2022/gca/Davinson-Sanchez-Match-Logs
"Davies, Ben",WAL,DF,28.0,3.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/44781702/matchlogs/2021-2022/gca/Ben-Davies-Match-Logs
"Bergwijn, Steven",NED,FW,24.0,3.0,10.0,3.33,7.0,0.0,1.0,1.0,1.0,0.0,2.0,0.67,1.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/a29b1131/matchlogs/2021-2022/gca/Steven-Bergwijn-Match-Logs
"Lo Celso, Giovani",ARG,"MF,FW",25.0,2.4,9.0,3.8,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/d7553721/matchlogs/2021-2022/gca/Giovani-Lo-Celso-Match-Logs
"Winks, Harry",ENG,MF,25.0,1.7,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2f7acede/matchlogs/2021-2022/gca/Harry-Winks-Match-Logs
"Rodon, Joe",WAL,DF,24.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8d62d31a/matchlogs/2021-2022/gca/Joe-Rodon-Match-Logs
Bryan,ESP,"FW,MF",20.0,0.7,1.0,1.45,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.45,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7b5ab7f2/matchlogs/2021-2022/gca/Bryan-Match-Logs
"Doherty, Matt",IRL,DF,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/d557d734/matchlogs/2021-2022/gca/Matt-Doherty-Match-Logs
"Sessegnon, Ryan",ENG,DF,21.0,0.1,1.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/6aa3e78b/matchlogs/2021-2022/gca/Ryan-Sessegnon-Match-Logs
