player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Ødegaard, Martin",NOR,MF,22.0,7.3,10.0,5.0,2.0,4.0,4.0,4.0,13.0,30.8,9.0,149.0,41.0,27.5,30.0,58.0,61.0,3.0,1.0,0.0,2.0,6.0,16.0,6.0,0.0,https://fbref.com/en/players/79300479/matchlogs/2021-2022/defense/Martin-Odegaard-Match-Logs
"Tavares, Nuno",POR,DF,21.0,5.6,12.0,8.0,5.0,4.0,3.0,2.0,6.0,33.3,4.0,63.0,15.0,23.8,29.0,22.0,12.0,11.0,3.0,0.0,8.0,14.0,26.0,15.0,1.0,https://fbref.com/en/players/a65c844b/matchlogs/2021-2022/defense/Nuno-Tavares-Match-Logs
"Pépé, Nicolas",CIV,"FW,MF",26.0,5.4,9.0,6.0,5.0,2.0,2.0,2.0,5.0,40.0,3.0,80.0,21.0,26.3,23.0,28.0,29.0,9.0,0.0,0.0,9.0,8.0,17.0,2.0,1.0,https://fbref.com/en/players/57e3f0c7/matchlogs/2021-2022/defense/Nicolas-Pepe-Match-Logs
"Lacazette, Alexandre",FRA,"MF,FW",30.0,3.9,4.0,3.0,0.0,2.0,2.0,2.0,7.0,28.6,5.0,76.0,19.0,25.0,14.0,34.0,28.0,4.0,1.0,0.0,3.0,5.0,9.0,0.0,0.0,https://fbref.com/en/players/9dbb75ca/matchlogs/2021-2022/defense/Alexandre-Lacazette-Match-Logs
"Xhaka, Granit",SUI,MF,29.0,3.3,8.0,5.0,3.0,3.0,2.0,4.0,9.0,44.4,5.0,63.0,15.0,23.8,16.0,30.0,17.0,5.0,1.0,0.0,4.0,6.0,14.0,1.0,0.0,https://fbref.com/en/players/e61b8aee/matchlogs/2021-2022/defense/Granit-Xhaka-Match-Logs
"Leno, Bernd",GER,GK,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/matchlogs/2021-2022/defense/Bernd-Leno-Match-Logs
"Maitland-Niles, Ainsley",ENG,MF,24.0,3.0,7.0,4.0,4.0,2.0,1.0,1.0,4.0,25.0,3.0,54.0,17.0,31.5,19.0,25.0,10.0,5.0,1.0,0.0,4.0,3.0,10.0,4.0,0.0,https://fbref.com/en/players/e3a5814e/matchlogs/2021-2022/defense/Ainsley-Maitland-Niles-Match-Logs
"Soares, Cédric",POR,DF,30.0,2.1,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,24.0,6.0,25.0,11.0,8.0,5.0,4.0,2.0,0.0,2.0,4.0,7.0,6.0,1.0,https://fbref.com/en/players/839c14e1/matchlogs/2021-2022/defense/Cedric-Soares-Match-Logs
Martinelli,BRA,"FW,MF",20.0,2.1,3.0,2.0,0.0,1.0,2.0,1.0,5.0,20.0,4.0,48.0,10.0,20.8,9.0,18.0,21.0,5.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,https://fbref.com/en/players/48a5a5d6/matchlogs/2021-2022/defense/Martinelli-Match-Logs
"Holding, Rob",ENG,"DF,MF",26.0,2.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,100.0,0.0,15.0,4.0,26.7,13.0,1.0,1.0,11.0,9.0,0.0,2.0,5.0,10.0,12.0,0.0,https://fbref.com/en/players/d79a8c87/matchlogs/2021-2022/defense/Rob-Holding-Match-Logs
"Marí, Pablo",ESP,DF,28.0,2.0,6.0,2.0,2.0,3.0,1.0,4.0,8.0,50.0,4.0,19.0,4.0,21.1,9.0,8.0,2.0,6.0,4.0,0.0,2.0,6.0,12.0,11.0,0.0,https://fbref.com/en/players/aa54ec6f/matchlogs/2021-2022/defense/Pablo-Mari-Match-Logs
"Chambers, Calum",ENG,DF,26.0,1.9,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,24.0,5.0,20.8,18.0,5.0,1.0,11.0,3.0,0.0,8.0,3.0,5.0,7.0,1.0,https://fbref.com/en/players/dc6f5bdd/matchlogs/2021-2022/defense/Calum-Chambers-Match-Logs
"Kolašinac, Sead",BIH,DF,28.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,12.0,3.0,25.0,7.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,5.0,8.0,0.0,https://fbref.com/en/players/3935e52e/matchlogs/2021-2022/defense/Sead-Kolasinac-Match-Logs
"Balogun, Folarin",ENG,FW,20.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,21.0,5.0,23.8,2.0,2.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/31822f8c/matchlogs/2021-2022/defense/Folarin-Balogun-Match-Logs
"Elneny, Mohamed",EGY,"MF,FW",29.0,0.7,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,11.0,2.0,18.2,8.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,https://fbref.com/en/players/47a34c4f/matchlogs/2021-2022/defense/Mohamed-Elneny-Match-Logs
"Nelson, Reiss",ENG,FW,21.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,8.0,2.0,25.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,https://fbref.com/en/players/c5bdb6e3/matchlogs/2021-2022/defense/Reiss-Nelson-Match-Logs
