player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Leno, Bernd",GER,GK,29.0,3.0,58.0,87.0,66.7,1543.0,926.0,19.0,19.0,100.0,20.0,20.0,100.0,18.0,47.0,38.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/matchlogs/2021-2022/passing/Bernd-Leno-Match-Logs
"Maitland-Niles, Ainsley",ENG,MF,24.0,3.0,105.0,136.0,77.2,1923.0,603.0,48.0,59.0,81.4,47.0,55.0,85.5,10.0,19.0,52.6,0.0,0.3,-0.3,3.0,12.0,3.0,0.0,13.0,https://fbref.com/en/players/e3a5814e/matchlogs/2021-2022/passing/Ainsley-Maitland-Niles-Match-Logs
"Soares, Cédric",POR,DF,30.0,2.1,53.0,69.0,76.8,862.0,259.0,25.0,27.0,92.6,21.0,27.0,77.8,5.0,10.0,50.0,0.0,0.1,-0.1,2.0,4.0,3.0,1.0,5.0,https://fbref.com/en/players/839c14e1/matchlogs/2021-2022/passing/Cedric-Soares-Match-Logs
Martinelli,BRA,"FW,MF",20.0,2.1,33.0,45.0,73.3,487.0,70.0,17.0,19.0,89.5,12.0,17.0,70.6,2.0,5.0,40.0,0.0,0.1,-0.1,3.0,1.0,2.0,0.0,3.0,https://fbref.com/en/players/48a5a5d6/matchlogs/2021-2022/passing/Martinelli-Match-Logs
"Holding, Rob",ENG,"DF,MF",26.0,2.0,40.0,51.0,78.4,891.0,285.0,8.0,10.0,80.0,23.0,24.0,95.8,8.0,15.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,https://fbref.com/en/players/d79a8c87/matchlogs/2021-2022/passing/Rob-Holding-Match-Logs
"Marí, Pablo",ESP,DF,28.0,2.0,78.0,86.0,90.7,1640.0,531.0,23.0,26.0,88.5,40.0,41.0,97.6,14.0,17.0,82.4,0.0,0.1,-0.1,1.0,9.0,0.0,0.0,8.0,https://fbref.com/en/players/aa54ec6f/matchlogs/2021-2022/passing/Pablo-Mari-Match-Logs
"Chambers, Calum",ENG,DF,26.0,1.9,81.0,98.0,82.7,1499.0,490.0,35.0,38.0,92.1,36.0,42.0,85.7,10.0,17.0,58.8,0.0,0.1,-0.1,1.0,5.0,1.0,1.0,9.0,https://fbref.com/en/players/dc6f5bdd/matchlogs/2021-2022/passing/Calum-Chambers-Match-Logs
"Kolašinac, Sead",BIH,DF,28.0,1.0,10.0,13.0,76.9,167.0,64.0,4.0,4.0,100.0,5.0,8.0,62.5,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/3935e52e/matchlogs/2021-2022/passing/Sead-Kolasinac-Match-Logs
"Balogun, Folarin",ENG,FW,20.0,0.8,4.0,8.0,50.0,60.0,6.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/31822f8c/matchlogs/2021-2022/passing/Folarin-Balogun-Match-Logs
"Elneny, Mohamed",EGY,"MF,FW",29.0,0.7,21.0,22.0,95.5,329.0,99.0,11.0,12.0,91.7,8.0,8.0,100.0,1.0,1.0,100.0,0.0,0.2,-0.2,3.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/47a34c4f/matchlogs/2021-2022/passing/Mohamed-Elneny-Match-Logs
"Nelson, Reiss",ENG,FW,21.0,0.2,10.0,11.0,90.9,117.0,17.0,6.0,6.0,100.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,https://fbref.com/en/players/c5bdb6e3/matchlogs/2021-2022/passing/Reiss-Nelson-Match-Logs
