player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Tavares, Nuno",POR,DF,21.0,9.0,5.0,501,5.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,0.4,0.4,0.7,1.2,0.08,0.13,0.21,0.08,0.21,https://fbref.com/en/players/a65c844b/matchlogs/2021-2022/summary/Nuno-Tavares-Match-Logs
"Pépé, Nicolas",CIV,"FW,MF",26.0,7.0,5.0,484,5.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,1.6,1.6,1.6,3.2,0.29,0.3,0.59,0.29,0.59,https://fbref.com/en/players/57e3f0c7/matchlogs/2021-2022/summary/Nicolas-Pepe-Match-Logs
"Lacazette, Alexandre",FRA,"MF,FW",30.0,8.0,4.0,348,3.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.8,0.8,0.5,1.3,0.2,0.14,0.34,0.2,0.34,https://fbref.com/en/players/9dbb75ca/matchlogs/2021-2022/summary/Alexandre-Lacazette-Match-Logs
"Xhaka, Granit",SUI,MF,29.0,4.0,4.0,295,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.03,0.05,0.03,0.05,https://fbref.com/en/players/e61b8aee/matchlogs/2021-2022/summary/Granit-Xhaka-Match-Logs
"Leno, Bernd",GER,GK,29.0,3.0,3.0,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/matchlogs/2021-2022/summary/Bernd-Leno-Match-Logs
"Maitland-Niles, Ainsley",ENG,MF,24.0,8.0,2.0,268,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,https://fbref.com/en/players/e3a5814e/matchlogs/2021-2022/summary/Ainsley-Maitland-Niles-Match-Logs
"Soares, Cédric",POR,DF,30.0,3.0,2.0,189,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.07,0.08,0.01,0.08,https://fbref.com/en/players/839c14e1/matchlogs/2021-2022/summary/Cedric-Soares-Match-Logs
Martinelli,BRA,"FW,MF",20.0,6.0,2.0,187,2.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,0.4,0.4,0.1,0.5,0.17,0.06,0.24,0.17,0.24,https://fbref.com/en/players/48a5a5d6/matchlogs/2021-2022/summary/Martinelli-Match-Logs
"Holding, Rob",ENG,"DF,MF",26.0,2.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05,https://fbref.com/en/players/d79a8c87/matchlogs/2021-2022/summary/Rob-Holding-Match-Logs
"Marí, Pablo",ESP,DF,28.0,2.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21,https://fbref.com/en/players/aa54ec6f/matchlogs/2021-2022/summary/Pablo-Mari-Match-Logs
"Chambers, Calum",ENG,DF,26.0,2.0,2.0,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,https://fbref.com/en/players/dc6f5bdd/matchlogs/2021-2022/summary/Calum-Chambers-Match-Logs
"Kolašinac, Sead",BIH,DF,28.0,2.0,1.0,91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/3935e52e/matchlogs/2021-2022/summary/Sead-Kolasinac-Match-Logs
"Balogun, Folarin",ENG,FW,20.0,2.0,1.0,70,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,https://fbref.com/en/players/31822f8c/matchlogs/2021-2022/summary/Folarin-Balogun-Match-Logs
"Elneny, Mohamed",EGY,"MF,FW",29.0,4.0,0.0,63,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.22,0.22,0.0,0.22,https://fbref.com/en/players/47a34c4f/matchlogs/2021-2022/summary/Mohamed-Elneny-Match-Logs
"Nelson, Reiss",ENG,FW,21.0,1.0,0.0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,https://fbref.com/en/players/c5bdb6e3/matchlogs/2021-2022/summary/Reiss-Nelson-Match-Logs
"Bellerín, Héctor",ESP,"DF,MF",26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/f874dd44/matchlogs/2021-2022/summary/Hector-Bellerin-Match-Logs
"Jakob Hein, Karl",EST,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/aa81d8f8/matchlogs/2021-2022/summary/Karl-Jakob-Hein-Match-Logs
"Nketiah, Eddie",ENG,FW,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/a53649b7/matchlogs/2021-2022/summary/Eddie-Nketiah-Match-Logs
"Okonkwo, Arthur",ENG,GK,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/75834acc/matchlogs/2021-2022/summary/Arthur-Okonkwo-Match-Logs
