player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
"Foden, Phil",ENG,FW,21.0,6.8,3.0,16.0,9.0,56.3,2.35,1.32,0.19,0.33,12.7,0.0,0.0,0.0,3.1,3.1,0.2,-0.1,-0.1,https://fbref.com/en/players/ed1e53f3/matchlogs/2021-2022/summary/Phil-Foden-Match-Logs
"Sterling, Raheem",ENG,FW,26.0,7.2,2.0,18.0,6.0,33.3,2.5,0.83,0.11,0.33,13.3,0.0,0.0,0.0,2.6,2.6,0.15,-0.6,-0.6,https://fbref.com/en/players/b400bde0/matchlogs/2021-2022/summary/Raheem-Sterling-Match-Logs
"De Bruyne, Kevin",BEL,MF,30.0,5.0,2.0,17.0,4.0,23.5,3.38,0.79,0.12,0.5,17.4,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5,https://fbref.com/en/players/e46012d4/matchlogs/2021-2022/summary/Kevin-De-Bruyne-Match-Logs
"Mahrez, Riyad",ALG,FW,30.0,5.3,2.0,19.0,6.0,31.6,3.58,1.13,0.11,0.33,16.7,3.0,0.0,0.0,2.5,2.5,0.13,-0.5,-0.5,https://fbref.com/en/players/892d5bb1/matchlogs/2021-2022/summary/Riyad-Mahrez-Match-Logs
"Aké, Nathan",NED,DF,26.0,4.2,0.0,1.0,0.0,0.0,0.24,0.0,0.0,,6.0,0.0,0.0,0.0,0.2,0.2,0.2,-0.2,-0.2,https://fbref.com/en/players/eaeca114/matchlogs/2021-2022/summary/Nathan-Ake-Match-Logs
"Torres, Ferrán",ESP,FW,21.0,3.4,2.0,13.0,4.0,30.8,3.86,1.19,0.15,0.5,14.1,0.0,0.0,0.0,2.5,2.5,0.19,-0.5,-0.5,https://fbref.com/en/players/9e1035f8/matchlogs/2021-2022/summary/Ferran-Torres-Match-Logs
"Stones, John",ENG,DF,27.0,3.4,0.0,1.0,0.0,0.0,0.3,0.0,0.0,,9.1,0.0,0.0,0.0,0.3,0.3,0.29,-0.3,-0.3,https://fbref.com/en/players/5eecec3d/matchlogs/2021-2022/summary/John-Stones-Match-Logs
Fernandinho,BRA,MF,36.0,3.1,1.0,6.0,1.0,16.7,1.91,0.32,0.17,1.0,19.6,0.0,0.0,0.0,0.7,0.7,0.11,0.3,0.3,https://fbref.com/en/players/101da2b5/matchlogs/2021-2022/summary/Fernandinho-Match-Logs
"Zinchenko, Oleksandr",UKR,DF,24.0,1.6,0.0,3.0,1.0,33.3,1.84,0.61,0.0,0.0,26.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,https://fbref.com/en/players/51cf8561/matchlogs/2021-2022/summary/Oleksandr-Zinchenko-Match-Logs
"Palmer, Cole",ENG,"FW,MF",19.0,1.2,0.0,4.0,1.0,25.0,3.3,0.83,0.0,0.0,20.1,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,https://fbref.com/en/players/dc7f8a28/matchlogs/2021-2022/summary/Cole-Palmer-Match-Logs
"Steffen, Zack",USA,GK,26.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/42130443/matchlogs/2021-2022/summary/Zack-Steffen-Match-Logs
"Mendy, Benjamin",FRA,DF,27.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/5271c8f1/matchlogs/2021-2022/summary/Benjamin-Mendy-Match-Logs
"Mcatee, James",ENG,FW,19.0,0.0,0.0,1.0,0.0,0.0,22.5,0.0,0.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,https://fbref.com/en/players/96593e89/matchlogs/2021-2022/summary/James-Mcatee-Match-Logs
