player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Foden, Phil",ENG,FW,21.0,6.8,413.0,1.0,20.0,146.0,265.0,51.0,374.0,7.0,12.0,58.3,8.0,1.0,302.0,1334.0,717.0,44.0,11.0,16.0,9.0,25.0,417.0,315.0,75.5,58.0,https://fbref.com/en/players/ed1e53f3/matchlogs/2021-2022/possession/Phil-Foden-Match-Logs
"Sterling, Raheem",ENG,FW,26.0,7.2,356.0,0.0,17.0,120.0,243.0,69.0,353.0,12.0,27.0,44.4,12.0,1.0,302.0,1539.0,983.0,57.0,11.0,16.0,18.0,24.0,399.0,301.0,75.4,75.0,https://fbref.com/en/players/b400bde0/matchlogs/2021-2022/possession/Raheem-Sterling-Match-Logs
"De Bruyne, Kevin",BEL,MF,30.0,5.0,398.0,7.0,45.0,167.0,210.0,27.0,371.0,7.0,11.0,63.6,7.0,1.0,273.0,1168.0,716.0,28.0,12.0,2.0,13.0,8.0,348.0,298.0,85.6,38.0,https://fbref.com/en/players/e46012d4/matchlogs/2021-2022/possession/Kevin-De-Bruyne-Match-Logs
"Mahrez, Riyad",ALG,FW,30.0,5.3,390.0,7.0,24.0,134.0,262.0,38.0,360.0,8.0,14.0,57.1,8.0,0.0,302.0,1580.0,961.0,52.0,12.0,10.0,10.0,13.0,355.0,311.0,87.6,41.0,https://fbref.com/en/players/892d5bb1/matchlogs/2021-2022/possession/Riyad-Mahrez-Match-Logs
"Aké, Nathan",NED,DF,26.0,4.2,327.0,27.0,124.0,188.0,38.0,2.0,321.0,0.0,0.0,,0.0,0.0,243.0,1310.0,865.0,25.0,1.0,0.0,2.0,0.0,273.0,261.0,95.6,1.0,https://fbref.com/en/players/eaeca114/matchlogs/2021-2022/possession/Nathan-Ake-Match-Logs
"Torres, Ferrán",ESP,FW,21.0,3.4,104.0,0.0,5.0,30.0,71.0,28.0,99.0,4.0,5.0,80.0,4.0,0.0,72.0,283.0,93.0,2.0,0.0,2.0,4.0,4.0,125.0,78.0,62.4,29.0,https://fbref.com/en/players/9e1035f8/matchlogs/2021-2022/possession/Ferran-Torres-Match-Logs
"Stones, John",ENG,DF,27.0,3.4,276.0,36.0,99.0,190.0,4.0,1.0,271.0,1.0,1.0,100.0,1.0,0.0,197.0,1406.0,843.0,37.0,1.0,0.0,1.0,0.0,224.0,221.0,98.7,0.0,https://fbref.com/en/players/5eecec3d/matchlogs/2021-2022/possession/John-Stones-Match-Logs
Fernandinho,BRA,MF,36.0,3.1,245.0,8.0,45.0,160.0,56.0,6.0,243.0,0.0,1.0,0.0,0.0,0.0,168.0,776.0,364.0,15.0,5.0,0.0,5.0,7.0,189.0,177.0,93.7,8.0,https://fbref.com/en/players/101da2b5/matchlogs/2021-2022/possession/Fernandinho-Match-Logs
"Zinchenko, Oleksandr",UKR,DF,24.0,1.6,156.0,2.0,28.0,79.0,64.0,2.0,144.0,0.0,0.0,,0.0,0.0,117.0,629.0,367.0,23.0,11.0,0.0,0.0,0.0,123.0,117.0,95.1,2.0,https://fbref.com/en/players/51cf8561/matchlogs/2021-2022/possession/Oleksandr-Zinchenko-Match-Logs
"Palmer, Cole",ENG,"FW,MF",19.0,1.2,69.0,0.0,4.0,25.0,44.0,14.0,69.0,1.0,2.0,50.0,1.0,1.0,50.0,246.0,124.0,6.0,2.0,3.0,5.0,4.0,66.0,55.0,83.3,20.0,https://fbref.com/en/players/dc7f8a28/matchlogs/2021-2022/possession/Cole-Palmer-Match-Logs
"Steffen, Zack",USA,GK,26.0,1.0,41.0,37.0,41.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,18.0,58.0,23.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,https://fbref.com/en/players/42130443/matchlogs/2021-2022/possession/Zack-Steffen-Match-Logs
"Mendy, Benjamin",FRA,DF,27.0,0.9,94.0,0.0,16.0,57.0,28.0,1.0,82.0,1.0,2.0,50.0,1.0,1.0,69.0,302.0,204.0,8.0,4.0,0.0,0.0,1.0,72.0,69.0,95.8,1.0,https://fbref.com/en/players/5271c8f1/matchlogs/2021-2022/possession/Benjamin-Mendy-Match-Logs
"Mcatee, James",ENG,FW,19.0,0.0,6.0,0.0,0.0,3.0,3.0,3.0,6.0,1.0,1.0,100.0,1.0,0.0,6.0,26.0,23.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,100.0,1.0,https://fbref.com/en/players/96593e89/matchlogs/2021-2022/possession/James-Mcatee-Match-Logs
