player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Sancho, Jadon",ENG,FW,21.0,5.5,229.0,272.0,84.2,3098.0,609.0,151.0,167.0,90.4,64.0,80.0,80.0,7.0,9.0,77.8,0.0,0.7,-0.7,12.0,9.0,9.0,2.0,17.0,https://fbref.com/en/players/dbf053da/matchlogs/2021-2022/passing/Jadon-Sancho-Match-Logs
"Matić, Nemanja",SRB,MF,33.0,5.3,313.0,364.0,86.0,5926.0,1862.0,127.0,145.0,87.6,144.0,160.0,90.0,38.0,48.0,79.2,2.0,0.6,1.4,5.0,41.0,2.0,0.0,31.0,https://fbref.com/en/players/eb7822d7/matchlogs/2021-2022/passing/Nemanja-Matic-Match-Logs
"Rashford, Marcus",ENG,FW,24.0,2.8,54.0,91.0,59.3,864.0,153.0,28.0,47.0,59.6,16.0,24.0,66.7,6.0,12.0,50.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,https://fbref.com/en/players/a1d5bd30/matchlogs/2021-2022/passing/Marcus-Rashford-Match-Logs
"Cavani, Edinson",URU,FW,34.0,2.4,47.0,61.0,77.0,727.0,79.0,32.0,37.0,86.5,8.0,13.0,61.5,5.0,8.0,62.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,https://fbref.com/en/players/527f063d/matchlogs/2021-2022/passing/Edinson-Cavani-Match-Logs
"Martial, Anthony",FRA,FW,25.0,2.2,58.0,75.0,77.3,876.0,188.0,31.0,40.0,77.5,25.0,29.0,86.2,2.0,3.0,66.7,0.0,0.1,-0.1,1.0,2.0,3.0,0.0,7.0,https://fbref.com/en/players/8b788c01/matchlogs/2021-2022/passing/Anthony-Martial-Match-Logs
"Bailly, Eric",CIV,DF,27.0,1.5,38.0,44.0,86.4,748.0,230.0,14.0,15.0,93.3,16.0,17.0,94.1,8.0,11.0,72.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,https://fbref.com/en/players/a1232f4e/matchlogs/2021-2022/passing/Eric-Bailly-Match-Logs
"James, Daniel",WAL,FW,24.0,1.4,22.0,32.0,68.8,233.0,36.0,18.0,24.0,75.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/c931d9f9/matchlogs/2021-2022/passing/Daniel-James-Match-Logs
"Telles, Alex",BRA,DF,28.0,1.2,32.0,55.0,58.2,447.0,175.0,22.0,26.0,84.6,8.0,10.0,80.0,2.0,14.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e73c9bb2/matchlogs/2021-2022/passing/Alex-Telles-Match-Logs
"Dalot, Diogo",POR,DF,22.0,1.0,35.0,53.0,66.0,863.0,380.0,8.0,12.0,66.7,18.0,25.0,72.0,9.0,13.0,69.2,0.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,https://fbref.com/en/players/d9565625/matchlogs/2021-2022/passing/Diogo-Dalot-Match-Logs
"Lingard, Jesse",ENG,FW,28.0,0.9,40.0,45.0,88.9,555.0,171.0,25.0,25.0,100.0,12.0,15.0,80.0,1.0,2.0,50.0,0.0,0.1,-0.1,2.0,7.0,0.0,0.0,4.0,https://fbref.com/en/players/810e3c74/matchlogs/2021-2022/passing/Jesse-Lingard-Match-Logs
"Beek, Donny van",NED,MF,24.0,0.7,21.0,27.0,77.8,317.0,163.0,12.0,16.0,75.0,6.0,8.0,75.0,2.0,2.0,100.0,0.0,0.5,-0.5,3.0,2.0,2.0,0.0,3.0,https://fbref.com/en/players/50dc94ce/matchlogs/2021-2022/passing/Donny-van-de-Beek-Match-Logs
