player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,matches
"Thomas, Luke",ENG,DF,20.0,6.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/fc027d02/matchlogs/2021-2022/gca/Luke-Thomas-Match-Logs
"Lookman, Ademola",ENG,"FW,MF",24.0,5.8,17.0,2.93,12.0,0.0,1.0,1.0,2.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/7c104bb7/matchlogs/2021-2022/gca/Ademola-Lookman-Match-Logs
"Iheanacho, Kelechi",NGA,"FW,MF",25.0,4.9,18.0,3.67,12.0,1.0,2.0,1.0,0.0,2.0,4.0,0.81,2.0,0.0,0.0,0.0,0.0,2.0,https://fbref.com/en/players/c92e1a31/matchlogs/2021-2022/gca/Kelechi-Iheanacho-Match-Logs
"Vestergaard, Jannik",DEN,DF,29.0,4.3,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1900032e/matchlogs/2021-2022/gca/Jannik-Vestergaard-Match-Logs
"Bertrand, Ryan",ENG,DF,32.0,3.7,2.0,0.53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/01226327/matchlogs/2021-2022/gca/Ryan-Bertrand-Match-Logs
"Albrighton, Marc",ENG,"FW,MF",32.0,3.3,4.0,1.21,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b827d5b3/matchlogs/2021-2022/gca/Marc-Albrighton-Match-Logs
"Pérez, Ayoze",ESP,"FW,MF",28.0,1.8,9.0,5.03,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/819aa8e7/matchlogs/2021-2022/gca/Ayoze-Perez-Match-Logs
"Choudhury, Hamza",ENG,MF,24.0,0.7,1.0,1.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7d2d3329/matchlogs/2021-2022/gca/Hamza-Choudhury-Match-Logs
"Daka, Patson",ZAM,"FW,MF",23.0,1.4,6.0,4.39,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.46,1.0,0.0,0.0,1.0,0.0,0.0,https://fbref.com/en/players/ca45605e/matchlogs/2021-2022/gca/Patson-Daka-Match-Logs
"Dewsbury Hall, Kiernan",ENG,MF,23.0,0.9,5.0,5.42,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5c74c0f5/matchlogs/2021-2022/gca/Kiernan-Dewsbury-Hall-Match-Logs
