player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"James, Reece",ENG,DF,21.0,10.0,8.0,638,7.1,4.0,4.0,4.0,0.0,0.0,2.0,1.0,0.56,0.56,1.13,0.56,1.13,1.2,1.2,2.3,3.5,0.17,0.32,0.49,0.17,0.49,https://fbref.com/en/players/1265a93a/matchlogs/2021-2022/summary/Reece-James-Match-Logs
"Lukaku, Romelu",BEL,FW,28.0,9.0,7.0,646,7.2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,3.1,3.1,1.9,5.1,0.44,0.27,0.7,0.44,0.7,https://fbref.com/en/players/5eae500a/matchlogs/2021-2022/summary/Romelu-Lukaku-Match-Logs
"Mount, Mason",ENG,"MF,FW",22.0,11.0,7.0,618,6.9,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.58,0.44,1.02,0.44,0.87,3.5,2.7,2.8,5.5,0.5,0.41,0.91,0.39,0.8,https://fbref.com/en/players/9674002f/matchlogs/2021-2022/summary/Mason-Mount-Match-Logs
"Hudson-Odoi, Callum",ENG,"FW,MF",21.0,7.0,7.0,552,6.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,1.2,1.2,1.8,3.0,0.19,0.29,0.49,0.19,0.49,https://fbref.com/en/players/15f3ec41/matchlogs/2021-2022/summary/Callum-Hudson-Odoi-Match-Logs
"Chilwell, Ben",ENG,DF,24.0,6.0,6.0,540,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0.17,0.67,0.5,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,https://fbref.com/en/players/d2424d1b/matchlogs/2021-2022/summary/Ben-Chilwell-Match-Logs
"Kanté, N'Golo",FRA,MF,30.0,8.0,6.0,495,5.5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,0.5,0.5,0.5,0.9,0.09,0.08,0.17,0.09,0.17,https://fbref.com/en/players/b9fbae28/matchlogs/2021-2022/summary/NGolo-Kante-Match-Logs
"Werner, Timo",GER,FW,25.0,8.0,5.0,472,5.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.38,0.19,0.38,3.2,3.2,0.2,3.3,0.6,0.03,0.64,0.6,0.64,https://fbref.com/en/players/49fe9070/matchlogs/2021-2022/summary/Timo-Werner-Match-Logs
"Loftus-Cheek, Ruben",ENG,MF,25.0,9.0,4.0,453,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.5,0.5,0.7,1.2,0.1,0.15,0.24,0.1,0.24,https://fbref.com/en/players/e97fd090/matchlogs/2021-2022/summary/Ruben-Loftus-Cheek-Match-Logs
"Ziyech, Hakim",MAR,"MF,FW",28.0,7.0,3.0,333,3.7,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.27,0.27,0.54,0.27,0.54,2.0,2.0,1.1,3.1,0.53,0.3,0.83,0.53,0.83,https://fbref.com/en/players/6622454d/matchlogs/2021-2022/summary/Hakim-Ziyech-Match-Logs
"Pulisic, Christian",USA,"MF,DF",23.0,5.0,2.0,219,2.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,1.1,1.1,0.3,1.4,0.46,0.11,0.57,0.46,0.57,https://fbref.com/en/players/1bf33a9a/matchlogs/2021-2022/summary/Christian-Pulisic-Match-Logs
"Ñíguez, Saúl",ESP,MF,27.0,3.0,2.0,93,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.12,0.0,0.12,0.12,0.12,https://fbref.com/en/players/c14bc029/matchlogs/2021-2022/summary/Saul-Niguez-Match-Logs
"Barkley, Ross",ENG,MF,27.0,4.0,1.0,128,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.3,0.58,0.36,0.93,0.58,0.93,https://fbref.com/en/players/3a24769f/matchlogs/2021-2022/summary/Ross-Barkley-Match-Logs
"Arrizabalaga, Kepa",ESP,GK,27.0,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/28d596a0/matchlogs/2021-2022/summary/Kepa-Arrizabalaga-Match-Logs
"Sarr, Malang",FRA,DF,22.0,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/4315f30d/matchlogs/2021-2022/summary/Malang-Sarr-Match-Logs
"Palmieri, Emerson",ITA,DF,27.0,1.0,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e0bc6fdc/matchlogs/2021-2022/summary/Emerson-Palmieri-Match-Logs
"Abraham, Tammy",ENG,FW,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/f586779e/matchlogs/2021-2022/summary/Tammy-Abraham-Match-Logs
"Bettinelli, Marcus",ENG,GK,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/0d85a4e8/matchlogs/2021-2022/summary/Marcus-Bettinelli-Match-Logs
"Zouma, Kurt",FRA,DF,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/ce4246f5/matchlogs/2021-2022/summary/Kurt-Zouma-Match-Logs
